SEX	BINARY	{0: -0.31866386666161184, 1: 0.43119614262004613}
AGE	CONTINUOUS	{'mean':66.3928610774485,'std':14.000464499910935}
HEIGHT	CONTINUOUS	{'mean':166.4077079107505,'std':10.941841834201892}
WEIGHT	CONTINUOUS	{'mean':69.9489526764934,'std':16.61740423225726}
ALL_C_P_AV	CONTINUOUS	{'mean':76.64843202623544,'std':24.877224830765734}
ALL_C_P_DEV	CONTINUOUS	{'mean':11.348387735945751,'std':4.170278957617721}
ALL_C_QRS_AV	CONTINUOUS	{'mean':97.58077852708311,'std':15.327777425671039}
ALL_C_QRS_DEV	CONTINUOUS	{'mean':5.297838439927535,'std':6.869199353100283}
ALL_C_T_AV	CONTINUOUS	{'mean':167.98930548562953,'std':22.142369419826768}
ALL_C_T_DEV	CONTINUOUS	{'mean':20.492389211544126,'std':8.067322540656644}
ALL_C_PR_INT_AV	CONTINUOUS	{'mean':142.9894428259847,'std':41.87769175393971}
ALL_C_PR_INT_DEV	CONTINUOUS	{'mean':12.058958577893149,'std':6.454364976093796}
ALL_C_PR_SEGM_AV	CONTINUOUS	{'mean':66.39539769796683,'std':23.416625074507184}
ALL_C_PR_SEGM_DEV	CONTINUOUS	{'mean':9.766679926322695,'std':6.09075069278637}
ALL_C_ST_SEGM_AV	CONTINUOUS	{'mean':115.23041894887062,'std':26.772772181488712}
ALL_C_ST_SEGM_DEV	CONTINUOUS	{'mean':18.33228481855355,'std':12.312453517316696}
ALL_C_QT_INT_AV	CONTINUOUS	{'mean':381.30966744686725,'std':41.02822372445919}
ALL_C_QT_INT_DEV	CONTINUOUS	{'mean':21.959295252954345,'std':14.083693441427313}
I_C_P_AV	CONTINUOUS	{'mean':76.90613076458524,'std':29.345440320987823}
I_C_P_DEV	CONTINUOUS	{'mean':11.373200269323094,'std':7.300050096344819}
I_C_QRS_AV	CONTINUOUS	{'mean':97.00650061308374,'std':20.467389783029983}
I_C_QRS_DEV	CONTINUOUS	{'mean':5.67144109113615,'std':18.231002182192455}
I_C_T_AV	CONTINUOUS	{'mean':159.52099664226287,'std':30.123140675744057}
I_C_T_DEV	CONTINUOUS	{'mean':21.622486251276225,'std':11.5184973188907}
I_C_PR_INT_AV	CONTINUOUS	{'mean':137.19254224313107,'std':49.539983829530016}
I_C_PR_INT_DEV	CONTINUOUS	{'mean':11.330598466609963,'std':10.979668991818968}
I_C_PR_SEGM_AV	CONTINUOUS	{'mean':60.32891452965367,'std':29.714184120245445}
I_C_PR_SEGM_DEV	CONTINUOUS	{'mean':7.731142166653107,'std':9.995920973655984}
I_C_ST_SEGM_AV	CONTINUOUS	{'mean':123.91504260099194,'std':41.25877523356684}
I_C_ST_SEGM_DEV	CONTINUOUS	{'mean':18.364452549759466,'std':23.28503399226477}
I_C_QT_INT_AV	CONTINUOUS	{'mean':380.952396131947,'std':54.092268253275925}
I_C_QT_INT_DEV	CONTINUOUS	{'mean':22.203964777129773,'std':25.87850425759255}
II_C_P_AV	CONTINUOUS	{'mean':88.09015708671006,'std':33.44757663243126}
II_C_P_DEV	CONTINUOUS	{'mean':9.270139555924374,'std':7.4013783627156275}
II_C_QRS_AV	CONTINUOUS	{'mean':96.94576475084,'std':16.632827962261334}
II_C_QRS_DEV	CONTINUOUS	{'mean':5.16261504292348,'std':6.314057864465997}
II_C_T_AV	CONTINUOUS	{'mean':167.99333767941934,'std':29.868809866173386}
II_C_T_DEV	CONTINUOUS	{'mean':19.714926778558272,'std':12.140787342453494}
II_C_PR_INT_AV	CONTINUOUS	{'mean':152.24274850617218,'std':54.41342668447263}
II_C_PR_INT_DEV	CONTINUOUS	{'mean':8.426354112557465,'std':9.62416433573467}
II_C_PR_SEGM_AV	CONTINUOUS	{'mean':64.21345751639983,'std':31.92066206210603}
II_C_PR_SEGM_DEV	CONTINUOUS	{'mean':6.79870893594219,'std':8.512745906312103}
II_C_ST_SEGM_AV	CONTINUOUS	{'mean':119.62117301797969,'std':32.33128457070496}
II_C_ST_SEGM_DEV	CONTINUOUS	{'mean':15.628877865994513,'std':13.70044104792382}
II_C_QT_INT_AV	CONTINUOUS	{'mean':385.1239080071248,'std':46.30809897195327}
II_C_QT_INT_DEV	CONTINUOUS	{'mean':19.248785345480957,'std':17.301668740274714}
III_C_P_AV	CONTINUOUS	{'mean':76.05965661337969,'std':28.063587725445476}
III_C_P_DEV	CONTINUOUS	{'mean':10.603166548620019,'std':7.2863052615471}
III_C_QRS_AV	CONTINUOUS	{'mean':96.23650624650394,'std':17.08898563804488}
III_C_QRS_DEV	CONTINUOUS	{'mean':5.5737964066561725,'std':5.766518871571298}
III_C_T_AV	CONTINUOUS	{'mean':154.08938386083562,'std':28.461705146110937}
III_C_T_DEV	CONTINUOUS	{'mean':21.308560367728486,'std':12.311132959160378}
III_C_PR_INT_AV	CONTINUOUS	{'mean':150.6733583849143,'std':56.27420072650485}
III_C_PR_INT_DEV	CONTINUOUS	{'mean':11.215163543367618,'std':12.287854325760415}
III_C_PR_SEGM_AV	CONTINUOUS	{'mean':74.63902780630428,'std':38.41099449691496}
III_C_PR_SEGM_DEV	CONTINUOUS	{'mean':9.459684458879476,'std':11.481195307896082}
III_C_ST_SEGM_AV	CONTINUOUS	{'mean':121.22080420113369,'std':42.733785886664066}
III_C_ST_SEGM_DEV	CONTINUOUS	{'mean':19.06498266586084,'std':16.241753427291535}
III_C_QT_INT_AV	CONTINUOUS	{'mean':372.2338380398611,'std':53.540383060512646}
III_C_QT_INT_DEV	CONTINUOUS	{'mean':21.917973752414415,'std':19.041057489044846}
AVR_C_P_AV	CONTINUOUS	{'mean':81.09197230514009,'std':29.150948296607123}
AVR_C_P_DEV	CONTINUOUS	{'mean':10.411442845229463,'std':8.391309933889369}
AVR_C_QRS_AV	CONTINUOUS	{'mean':89.36817151324632,'std':17.288382766571804}
AVR_C_QRS_DEV	CONTINUOUS	{'mean':5.584494725540437,'std':5.984574220852618}
AVR_C_T_AV	CONTINUOUS	{'mean':158.90155549277605,'std':29.31335611171975}
AVR_C_T_DEV	CONTINUOUS	{'mean':20.959612479265704,'std':12.394627522107855}
AVR_C_PR_INT_AV	CONTINUOUS	{'mean':151.03358026571516,'std':51.371944636024686}
AVR_C_PR_INT_DEV	CONTINUOUS	{'mean':9.95659339978534,'std':11.328070409336688}
AVR_C_PR_SEGM_AV	CONTINUOUS	{'mean':69.97087318762084,'std':34.716321475619765}
AVR_C_PR_SEGM_DEV	CONTINUOUS	{'mean':8.428152608866995,'std':10.822656938265213}
AVR_C_ST_SEGM_AV	CONTINUOUS	{'mean':128.36807947985923,'std':33.68566474079342}
AVR_C_ST_SEGM_DEV	CONTINUOUS	{'mean':17.274796720688908,'std':13.161604637673816}
AVR_C_QT_INT_AV	CONTINUOUS	{'mean':377.23877383185794,'std':46.128608659207075}
AVR_C_QT_INT_DEV	CONTINUOUS	{'mean':20.309255799502996,'std':17.11401094886043}
AVL_C_P_AV	CONTINUOUS	{'mean':66.75883427835691,'std':25.267442167349813}
AVL_C_P_DEV	CONTINUOUS	{'mean':10.573637077902625,'std':6.940490214237765}
AVL_C_QRS_AV	CONTINUOUS	{'mean':96.97352156426888,'std':17.7738177963978}
AVL_C_QRS_DEV	CONTINUOUS	{'mean':5.429371925612651,'std':5.768406540652462}
AVL_C_T_AV	CONTINUOUS	{'mean':152.17441058823965,'std':28.563163453538497}
AVL_C_T_DEV	CONTINUOUS	{'mean':21.800839584124013,'std':11.974850079376681}
AVL_C_PR_INT_AV	CONTINUOUS	{'mean':132.13966424616908,'std':48.031314366793445}
