iter	MultiClass
0	1.517512753
1	1.476043372
2	1.411212752
3	1.370564771
4	1.30109474
5	1.264975321
6	1.231296614
7	1.208293144
8	1.160286589
9	1.123943992
10	1.077837242
11	1.039226067
12	1.014291984
13	0.9910962452
14	0.9624674563
15	0.9334744294
16	0.9113123003
17	0.8859139805
18	0.8726509197
19	0.8511577637
20	0.8262945651
21	0.8074026457
22	0.7831715688
23	0.7662606895
24	0.7547077297
25	0.7332428274
26	0.7189880717
27	0.6982123132
28	0.6852182914
29	0.6717620284
30	0.656831997
31	0.6432488968
32	0.6327110951
33	0.6241917477
34	0.6146241575
35	0.6057216375
36	0.5903950128
37	0.5797514765
38	0.5726400524
39	0.5638942365
40	0.555882061
41	0.5468257816
42	0.5417641592
43	0.5395551311
44	0.5302166737
45	0.5260785159
46	0.5198575665
47	0.5135077719
48	0.5033092964
49	0.4993553426
50	0.4902463981
51	0.4837801027
52	0.4786776212
53	0.4740656804
54	0.4693573416
55	0.464618864
56	0.4562317016
57	0.4530207318
58	0.4492618357
59	0.4438902615
60	0.4376277065
61	0.4319807416
62	0.4272876657
63	0.4230942876
64	0.4155261117
65	0.4099611057
66	0.4045414257
67	0.4010368906
68	0.3955142878
69	0.390528713
70	0.3873040659
71	0.3846420588
72	0.3813772171
73	0.3784976055
74	0.3759094737
75	0.3748141144
76	0.3724256221
77	0.3703346912
78	0.3675529162
79	0.363331844
80	0.3599936088
81	0.3577009323
82	0.3517104888
83	0.3493316106
84	0.3459579099
85	0.3433831164
86	0.3416483845
87	0.3386638378
88	0.3374804256
89	0.3339191487
90	0.3317545558
91	0.3309432447
92	0.3290517096
93	0.3268066514
94	0.3249336244
95	0.3231736412
96	0.3209680278
97	0.3172608396
98	0.3155982178
99	0.313241403
100	0.310174707
101	0.3088778905
102	0.3071845332
103	0.3045492559
104	0.3029932963
105	0.3001115835
106	0.2986507003
107	0.2966274166
108	0.2950409405
109	0.292283441
110	0.2910790031
111	0.2903523191
112	0.2893227263
113	0.2877065542
114	0.2853062843
115	0.2829090021
116	0.2801051147
117	0.2780146697
118	0.2746818823
119	0.2723815117
120	0.270018513
121	0.2684806042
122	0.2659823622
123	0.264004513
124	0.2616892987
125	0.2599773881
126	0.2582901522
127	0.2550987629
128	0.2533714346
129	0.2514686872
130	0.2492935838
131	0.2475255692
132	0.2461433515
133	0.2448857931
134	0.2441156017
135	0.2419067265
136	0.2400286538
137	0.2385416172
138	0.2371474966
139	0.2348370377
140	0.233888854
141	0.231988722
142	0.2300201181
143	0.2283966864
144	0.2271571858
145	0.2255564873
146	0.2243486309
147	0.2228455629
148	0.2215083038
149	0.2201168834
150	0.2191823197
151	0.2177660162
152	0.2166424765
153	0.2152364842
154	0.2139640066
155	0.2127895934
156	0.2110792637
157	0.2101580793
158	0.208686068
159	0.2072800924
160	0.2057149754
161	0.2046353982
162	0.2039637868
163	0.2037368659
164	0.202922085
165	0.2017491895
166	0.2003597788
167	0.199749295
168	0.1975659017
169	0.1958727647
170	0.1948531548
171	0.1942067115
172	0.1935277058
173	0.1922596725
174	0.1915463406
175	0.1907349334
176	0.1902204641
177	0.1894665713
178	0.1887267084
179	0.188097224
180	0.1876068913
181	0.1863889671
182	0.1858314611
183	0.1850260756
184	0.1833501025
185	0.1823508813
186	0.1817965147
187	0.181237048
188	0.1805209453
189	0.1790093849
190	0.1780832387
191	0.177618733
192	0.1769549193
193	0.1754619204
194	0.1747879673
195	0.1740112248
196	0.1726709379
197	0.171964632
198	0.1710962028
199	0.1705505215
200	0.1695907851
201	0.1690995595
202	0.1689432626
203	0.1687131606
204	0.1677042218
205	0.1668426564
206	0.1661144371
207	0.1658084595
208	0.1648677395
209	0.1644537454
210	0.16395179
211	0.1635236437
212	0.1632150417
213	0.1627836819
214	0.1621285235
215	0.1613303648
216	0.1606070751
217	0.1597133315
218	0.1586899058
219	0.1578739412
220	0.1575709866
221	0.157006802
222	0.1560839498
223	0.1554397272
224	0.1546250088
225	0.1534269167
226	0.1529547016
227	0.152625764
228	0.152026534
229	0.1510314814
230	0.1504759938
231	0.1498844273
232	0.1496072704
233	0.1493191348
234	0.1485576405
235	0.147881796
236	0.1473770439
237	0.1464198457
238	0.1454965375
239	0.1450102857
240	0.1445761811
241	0.1439178362
242	0.1432981508
243	0.1430280736
244	0.1422161097
245	0.1411580377
246	0.1407243181
247	0.1402639409
248	0.139901075
249	0.139496754
250	0.1387744534
251	0.1384408831
252	0.1377840165
253	0.1375999439
254	0.1366106064
255	0.1362064682
256	0.135624761
257	0.1352454709
258	0.1348560944
259	0.1340746952
260	0.133873148
261	0.1334793901
262	0.1332684154
263	0.1324951856
264	0.1321259284
265	0.1317792245
266	0.1314939167
267	0.1305947117
268	0.1301817099
269	0.1296228851
270	0.129077887
271	0.1284181619
272	0.1281438793
273	0.1278983926
274	0.127167657
275	0.1268973523
276	0.1265559519
277	0.1262586251
278	0.1258394348
279	0.125660317
280	0.1252843083
281	0.1249117705
282	0.1244913864
283	0.1242100362
284	0.1234402369
285	0.1230473006
286	0.1227887378
287	0.1222431062
288	0.1215666375
289	0.1213092428
290	0.1205893881
291	0.1201629752
292	0.1197497757
293	0.1193294935
294	0.1187240425
295	0.1184162188
296	0.1178631405
297	0.1176405543
298	0.1171781955
299	0.1170206398
300	0.11670968
301	0.1163077348
302	0.1160699704
303	0.1157978786
304	0.1153505897
305	0.1149406604
306	0.1146108292
307	0.1141869906
308	0.1138100226
309	0.1134864147
310	0.1127486231
311	0.1124563791
312	0.1123940812
313	0.1117759186
314	0.1113668328
315	0.1110580156
316	0.1102989744
317	0.1099797324
318	0.1097142045
319	0.1093163237
320	0.1089116985
321	0.1084657227
322	0.1081163096
323	0.1078825801
324	0.1075681127
325	0.1072125981
326	0.1070271737
327	0.106236538
328	0.1060861133
329	0.1056447692
330	0.1054208789
331	0.1051321968
332	0.1048037111
333	0.1046029454
334	0.1040374292
335	0.1037871356
336	0.1035291403
337	0.1034004491
338	0.102869011
339	0.102661403
340	0.1024196243
341	0.1022687178
342	0.1019001394
343	0.1015728703
344	0.1014225973
345	0.1009192234
346	0.100646354
347	0.1004570152
348	0.1000928431
349	0.09972550014
350	0.09942980182
351	0.09887566644
352	0.09840913965
353	0.09816299034
354	0.09789146928
355	0.09744035914
356	0.09712793986
357	0.09690748782
358	0.09651556196
359	0.09622173999
360	0.09583001727
361	0.09556593514
362	0.09522863469
363	0.09493139864
364	0.09459722786
365	0.09448966482
366	0.09443060609
367	0.09387730022
368	0.09372100338
369	0.09334262071
370	0.09322113071
371	0.09309510408
372	0.09294624574
373	0.09256739149
374	0.09224988886
375	0.09202159143
376	0.0917662678
377	0.09151162047
378	0.09138471825
379	0.09121787533
380	0.09103152275
381	0.09069186942
382	0.09030865287
383	0.0899802809
384	0.08983667742
385	0.0897479583
386	0.08970186363
387	0.08943055433
388	0.08907068307
389	0.08878965509
390	0.08866599481
391	0.08841386709
392	0.08813709916
393	0.08785275702
394	0.08769765159
395	0.08761145432
396	0.08736045662
397	0.08711320465
398	0.08683704331
399	0.08647368856
400	0.0860948531
401	0.08585256905
402	0.08560989634
403	0.08547905487
404	0.08525387572
405	0.08497051684
406	0.08482583832
407	0.0846423853
408	0.08441321221
409	0.08405753295
410	0.08380723434
411	0.08322851029
412	0.082941295
413	0.08265051089
414	0.08248707252
415	0.0823223167
416	0.08204343016
417	0.08193932842
418	0.08168532967
419	0.08135350649
420	0.08090791462
421	0.08079557913
422	0.08061441043
423	0.0803795033
424	0.08002926013
425	0.079880057
426	0.07969017589
427	0.0795605102
428	0.07939614937
429	0.07927428528
430	0.07890347944
431	0.07875344357
432	0.07863853042
433	0.07851592004
434	0.07825215989
435	0.07804081188
436	0.0778039988
437	0.07757537607
438	0.07744093705
439	0.07722592274
440	0.07709243715
441	0.07694775589
442	0.07684137775
443	0.07665688297
444	0.07629181854
445	0.0759369483
446	0.07584356542
447	0.07561220055
448	0.07534136511
449	0.0750330977
450	0.07472871261
451	0.07447413076
452	0.07433503579
453	0.07423614695
454	0.07398817125
455	0.07370028894
