iter	Passed	Remaining
0	4	7365
1	8	6673
2	13	6567
3	16	6053
4	20	6269
5	24	6067
6	28	6156
7	33	6255
8	38	6311
9	42	6379
10	46	6300
11	50	6317
12	54	6277
13	59	6271
14	63	6324
15	68	6355
16	72	6356
17	77	6394
18	82	6402
19	86	6408
20	91	6427
21	95	6444
22	100	6466
23	105	6458
24	108	6406
25	113	6416
26	116	6376
27	121	6405
28	125	6386
29	129	6365
30	134	6383
31	139	6384
32	143	6369
33	146	6337
34	151	6340
35	155	6320
36	160	6343
37	164	6340
38	168	6327
39	172	6305
40	177	6319
41	182	6332
42	185	6297
43	189	6261
44	193	6252
45	197	6244
46	201	6232
47	205	6201
48	209	6203
49	212	6169
50	216	6156
51	221	6169
52	225	6152
53	229	6139
54	232	6113
55	236	6091
56	240	6078
57	243	6056
58	247	6038
59	251	6042
60	256	6059
61	259	6025
62	263	6015
63	266	5983
64	270	5965
65	273	5937
66	277	5930
67	281	5922
68	284	5908
69	288	5894
70	292	5884
71	296	5871
72	300	5872
73	303	5857
74	307	5842
75	310	5820
76	313	5801
77	316	5777
78	320	5761
79	323	5743
80	326	5726
81	330	5712
82	334	5713
83	338	5699
84	341	5691
85	345	5679
86	348	5664
87	352	5654
88	355	5640
89	359	5627
90	362	5615
91	365	5598
92	369	5595
93	373	5583
94	376	5562
95	380	5565
96	385	5569
97	389	5571
98	393	5562
99	396	5549
100	400	5549
101	405	5551
102	408	5542
103	412	5536
104	416	5527
105	420	5530
106	424	5523
107	428	5519
108	432	5516
109	436	5515
110	439	5505
111	443	5500
112	447	5496
113	451	5490
114	455	5487
115	459	5479
116	463	5477
117	467	5474
118	472	5478
119	475	5471
120	479	5466
121	483	5458
122	487	5462
123	491	5458
124	495	5454
125	499	5449
126	503	5445
127	508	5447
128	513	5455
129	518	5458
130	522	5455
131	527	5461
132	532	5470
133	537	5479
134	542	5489
135	549	5506
136	555	5530
137	560	5529
138	564	5530
139	570	5545
140	576	5560
141	582	5573
142	588	5584
143	592	5580
144	597	5579
145	603	5594
146	607	5587
147	612	5597
148	618	5608
149	624	5620
150	628	5616
151	633	5619
152	639	5633
153	645	5643
154	650	5648
155	655	5650
156	661	5657
157	665	5649
158	670	5658
159	676	5668
160	682	5676
161	688	5682
162	693	5686
163	697	5682
164	702	5684
165	707	5686
166	713	5697
167	719	5702
168	725	5712
169	731	5721
170	737	5728
171	741	5727
172	747	5734
173	754	5746
174	759	5752
175	765	5759
176	771	5764
177	776	5770
178	782	5774
179	787	5778
180	793	5783
181	799	5790
182	805	5797
183	810	5799
184	816	5805
185	822	5809
186	827	5813
187	833	5815
188	838	5816
189	844	5823
190	850	5831
191	856	5835
192	861	5832
193	867	5840
194	873	5844
195	879	5851
196	885	5857
197	890	5857
198	896	5859
199	902	5863
200	907	5865
201	913	5870
202	918	5869
203	924	5872
204	930	5878
205	936	5885
206	942	5886
207	947	5886
208	952	5883
209	957	5882
210	962	5878
211	967	5878
212	973	5881
213	978	5881
214	984	5883
215	990	5887
216	996	5892
217	1002	5894
218	1008	5900
219	1015	5906
220	1020	5906
221	1026	5910
222	1032	5914
223	1038	5917
224	1044	5921
225	1050	5923
226	1055	5920
227	1060	5918
228	1067	5922
229	1073	5928
230	1080	5933
231	1086	5937
232	1091	5934
233	1097	5937
234	1103	5938
235	1109	5939
236	1115	5943
237	1121	5946
238	1127	5950
239	1132	5946
240	1138	5946
241	1144	5948
242	1150	5951
243	1156	5950
244	1162	5954
245	1168	5958
246	1175	5961
247	1181	5963
248	1186	5961
249	1191	5959
250	1198	5961
251	1202	5956
252	1208	5956
253	1214	5957
254	1220	5958
255	1226	5962
256	1233	5964
257	1238	5964
258	1244	5963
259	1250	5961
260	1255	5959
261	1261	5958
262	1266	5956
263	1272	5957
264	1278	5956
265	1283	5953
266	1287	5945
267	1293	5947
268	1300	5949
269	1306	5949
270	1312	5950
271	1318	5952
272	1324	5952
273	1329	5950
274	1335	5950
275	1341	5948
276	1347	5948
277	1353	5947
278	1359	5949
279	1364	5945
280	1369	5941
281	1374	5938
282	1381	5938
283	1386	5936
284	1392	5938
285	1399	5938
286	1405	5938
287	1410	5936
288	1416	5935
289	1421	5931
290	1427	5930
291	1433	5930
292	1439	5930
293	1445	5929
294	1451	5928
295	1456	5926
296	1463	5927
297	1468	5922
298	1474	5923
299	1479	5919
300	1485	5918
301	1491	5916
302	1497	5917
303	1503	5915
304	1508	5912
305	1515	5912
306	1521	5911
307	1527	5910
308	1532	5907
309	1538	5906
310	1544	5903
311	1551	5907
312	1561	5921
313	1568	5922
314	1574	5921
315	1579	5918
316	1585	5916
317	1591	5914
318	1597	5914
319	1603	5913
320	1609	5910
321	1615	5908
322	1621	5907
323	1626	5903
324	1631	5898
325	1637	5897
326	1642	5893
327	1648	5891
328	1654	5888
329	1660	5887
330	1666	5884
331	1672	5883
332	1677	5879
333	1683	5878
334	1689	5876
335	1693	5868
336	1699	5866
337	1705	5864
338	1712	5865
339	1718	5861
340	1723	5856
341	1729	5855
342	1735	5853
343	1741	5850
344	1746	5847
345	1752	5846
346	1759	5845
347	1763	5838
348	1769	5836
349	1775	5833
350	1780	5829
351	1786	5827
352	1792	5825
353	1798	5823
354	1804	5819
355	1810	5817
356	1816	5815
357	1821	5811
358	1828	5810
359	1833	5806
360	1840	5805
361	1846	5804
362	1852	5802
363	1858	5800
364	1864	5797
365	1869	5793
366	1873	5784
367	1879	5781
368	1885	5778
369	1890	5774
370	1896	5770
371	1902	5768
372	1906	5761
373	1913	5760
374	1919	5758
375	1924	5754
376	1930	5751
377	1936	5748
378	1942	5745
379	1948	5741
380	1953	5738
381	1960	5737
382	1966	5735
383	1972	5733
384	1977	5727
385	1983	5723
386	1988	5718
387	1994	5716
388	2000	5713
389	2006	5712
390	2012	5707
391	2018	5704
392	2024	5701
393	2029	5698
394	2035	5694
395	2041	5692
396	2047	5688
397	2053	5685
398	2059	5682
399	2065	5680
400	2071	5677
401	2077	5675
402	2084	5673
403	2090	5669
404	2096	5667
405	2102	5665
406	2107	5660
407	2114	5658
408	2120	5655
409	2126	5654
410	2133	5651
411	2139	5648
412	2144	5645
413	2151	5643
414	2157	5641
415	2164	5639
416	2170	5636
417	2176	5633
418	2182	5630
419	2189	5629
420	2195	5626
421	2201	5624
422	2207	5619
423	2211	5613
424	2218	5610
425	2223	5606
426	2230	5603
427	2236	5601
428	2242	5598
429	2248	5594
430	2254	5592
431	2259	5586
432	2266	5584
433	2272	5581
434	2278	5578
435	2283	5573
436	2290	5570
437	2296	5568
438	2302	5563
439	2308	5560
440	2314	5556
441	2320	5554
442	2326	5550
443	2332	5547
444	2338	5544
445	2344	5541
446	2350	5536
447	2356	5533
448	2362	5530
449	2368	5527
450	2375	5524
451	2381	5521
452	2387	5518
453	2394	5515
454	2400	5513
455	2406	5510
456	2413	5507
457	2419	5504
458	2425	5501
459	2431	5497
460	2437	5493
461	2443	5489
462	2449	5485
463	2455	5482
464	2462	5480
465	2466	5473
466	2471	5467
467	2477	5463
468	2484	5460
469	2490	5456
470	2496	5453
471	2502	5449
472	2508	5445
473	2512	5438
474	2518	5435
475	2525	5432
476	2530	5427
477	2536	5424
478	2542	5419
479	2547	5414
480	2553	5410
481	2559	5406
482	2565	5402
483	2571	5398
484	2577	5393
485	2583	5390
486	2589	5386
487	2595	5382
488	2602	5380
489	2608	5376
490	2613	5371
491	2619	5367
492	2625	5363
493	2631	5359
494	2638	5356
495	2644	5352
496	2649	5346
497	2655	5343
498	2662	5340
499	2667	5335
500	2673	5331
501	2680	5328
